run_id,timestamp,method,stage,technique,model_name,protocol,train_split,eval_split,config_id,mrr,recall@1,recall@5,recall@10,recall@20,map@10,ndcg@10,precision@10,mean_rank,latency_ms_per_query,throughput_qps,model_params_m,model_size_mb,runtime_sec,status,ranks_file,error
kd_minilm_sweep,2026-03-15T10:25:00.210630+00:00,pretrained,pretrained,zero_shot,sentence-transformers/all-MiniLM-L6-v2,heldout_test,n/a,test,zero_shot,0.7713965228215176,0.6819999814033508,0.8840000033378601,0.921999990940094,0.9539999961853028,0.7679047619047619,0.8057529793971419,0.0922000110149383,5.104,0.379,2637.5,22.713,90.9,5.900830500002485,success,ranks/pretrained__pretrained__heldout_test__139978d63869.npy,
kd_minilm_sweep,2026-03-15T10:25:02.239830+00:00,pretrained,pretrained,zero_shot,sentence-transformers/all-MiniLM-L6-v2,full_corpus,n/a,all,zero_shot,0.6963452311968095,0.5770020484924316,0.8480492830276489,0.9096509218215942,0.9394250512123108,0.6927320654476712,0.7456345619039192,0.0909651070833206,7.819301848049282,,,,,2.0272005409933627,success,ranks/pretrained__pretrained__full_corpus__8cb53849e9e2.npy,
kd_minilm_sweep,2026-03-15T10:25:15.843665+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,train_only,train+validation+prompt,n/a,kd_e1_b16_lr2e5_a05_t4,,,,,,,,,,,,,,7.913354624994099,success,,
kd_minilm_sweep,2026-03-15T10:25:16.652897+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,heldout_test,train+validation+prompt,test,kd_e1_b16_lr2e5_a05_t4,0.8040344478536678,0.722000002861023,0.906000018119812,0.9440000057220459,0.9760000109672546,0.8011873015873016,0.8361665123554525,0.09440001100301743,4.51,0.369,2709.7,22.713,90.9,0.8074608750175685,success,ranks/kd__kd_mnr__heldout_test__60c457abb94f.npy,
kd_minilm_sweep,2026-03-15T10:25:17.844781+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,full_corpus,train+validation+prompt,all,kd_e1_b16_lr2e5_a05_t4,0.7304899924201338,0.6149897575378418,0.8788501024246216,0.9312114715576172,0.9691991806030273,0.7270896483165478,0.777033031385648,0.09312116354703903,5.926078028747433,,,,,1.1896544999908656,success,ranks/kd__kd_mnr__full_corpus__7c8237c6732d.npy,
kd_minilm_sweep,2026-03-15T10:25:26.732483+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,train_only,train+validation+prompt,n/a,kd_e2_b16_lr2e5_a05_t4,,,,,,,,,,,,,,8.885582540999167,success,,
kd_minilm_sweep,2026-03-15T10:25:27.569687+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,heldout_test,train+validation+prompt,test,kd_e2_b16_lr2e5_a05_t4,0.80747503360794,0.7260000109672546,0.9120000004768372,0.9459999799728394,0.9760000109672546,0.8048611111111111,0.8394705210398122,0.09460000693798065,4.202,0.497,2011.4,22.713,90.9,0.834878875000868,success,ranks/kd__kd_mnr__heldout_test__a0f81d3f8107.npy,
kd_minilm_sweep,2026-03-15T10:25:28.783486+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,full_corpus,train+validation+prompt,all,kd_e2_b16_lr2e5_a05_t4,0.740463862195145,0.6252566576004028,0.8963038921356201,0.9404517412185669,0.9691991806030273,0.7375953358756234,0.7873994440363347,0.09404519200325012,4.965092402464066,,,,,1.2114410840440542,success,ranks/kd__kd_mnr__full_corpus__28b23a7ac231.npy,
kd_minilm_sweep,2026-03-15T10:25:35.382650+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,train_only,train+validation+prompt,n/a,kd_e1_b16_lr2e5_a03_t4,,,,,,,,,,,,,,6.597041417029686,success,,
kd_minilm_sweep,2026-03-15T10:25:36.142567+00:00,kd,kd_mnr,kd_kl,sentence-transformers/all-MiniLM-L6-v2,heldout_test,train+validation+prompt,test,kd_e1_b16_lr2e5_a03_t4,0.800119360508662,0.7160000205039978,0.8999999761581421,0.9419999718666077,0.9739999771118164,0.7971626984126983,0.8326251450975696,0.0942000150680542,4.488,0.367,2726.2,22.713,90.9,0.7575830830028281,success,ranks/kd__kd_mnr__heldout_test__fb7fa0342afe.npy,
